ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
3,,201,3/3/1993,0,20,,1.299999952,,,,,,,,,,0.699999988,3.099999905,,,,,,,,,0.245700002,,
3,,201,3/3/1993,20,40,,1.5,,,,,,,,,,0.699999988,1.899999976,,,,,,,,,0.294,,
3,,201,3/3/1993,40,60,,1.5,,,,,,,,,,0.300000012,1.600000024,,,,,,,,,0.317999989,,
3,,201,3/3/1993,60,90,,1.5,,,,,,,,,,0.300000012,2.5,,,,,,,,,0.397500008,,
3,,201,4/6/1993,0,20,,1.299999952,,,,,,,,,,0.800000012,0.200000003,,,,,,,,,0.304199994,,
3,,201,4/6/1993,20,40,,1.5,,,,,,,,,,0.300000012,0.400000006,,,,,,,,,0.317999989,,
3,,201,4/6/1993,40,60,,1.5,,,,,,,,,,0.100000001,0.300000012,,,,,,,,,0.310499996,,
3,,201,4/6/1993,60,90,,1.5,,,,,,,,,,0,0.300000012,,,,,,,,,0.361499995,,
3,,201,4/6/1993,90,120,,1.299999952,,,,,,,,,,0,0.100000001,,,,,,,,,0.363999993,,
3,,201,11/11/1993,0,20,,1.24000001,,,,,,,,,,0.5,0.400000006,,,,,,,,,,,
3,,201,11/11/1993,20,40,,1.470000029,,,,,,,,,,0.300000012,0.100000001,,,,,,,,,,,
3,,201,11/11/1993,40,60,,1.519999981,,,,,,,,,,0,0.200000003,,,,,,,,,,,
3,,201,11/11/1993,60,90,,1.519999981,,,,,,,,,,0,0.400000006,,,,,,,,,,,
3,,201,11/11/1993,90,120,,1.559999943,,,,,,,,,,0,0.400000006,,,,,,,,,,,
3,,201,11/11/1993,120,150,,1.649999976,,,,,,,,,,0,0.200000003,,,,,,,,,,,
