Soil Type,,From Depth,To Depth,dul,sat,ll15,bd,oc,swcon,ll,,,,,
PO Field 308,,920,1220,0.304,0.399,,1.34,,,0.15,,,,,
PO Field 308,,1220,1520,0.304,0.399,,1.34,,,0.15,,,,,
PO Field 308,,1520,1820,0.304,0.399,,1.34,,,0.15,,,,,
PO Field 308,,1820,2120,0.304,0.399,,1.34,,,0.15,,,,,
YB Block 8,,0,200,0.28,0.38,,1.43,,,0.14,,,,,
YB Block 8,,200,400,0.27,0.38,,1.56,,,0.18,,,,,
YB Block 8,,400,600,0.26,0.38,,1.6,,,0.19,,,,,
YB Block 8,,600,900,0.25,0.38,,1.6,,,0.16,,,,,
YB Block 8,,900,1200,0.23,0.38,,1.6,,,0.12,,,,,
YB Block 8,,1200,1800,0.12,0.38,,1.6,,,0.07,,,,,
ZN Block11,,0,200,0.33,,,1.2,,,0.18,,,,,
ZN Block11,,200,400,0.35,,,1.25,,,0.2,,,,,
ZN Block11,,400,600,0.37,,,1.3,,,0.21,,,,,
ZN Block11,,600,900,0.37,,,1.35,,,0.24,,,,,
ZN Block11,,900,1200,0.36,,,1.4,,,0.24,,,,,
ZN Block11,,1200,1500,0.32,,,1.45,,,0.22,,,,,
ZN Block11,,1500,1800,0.3,,,1.5,,,0.18,,,,,
ZN Block11,,1800,2100,0.28,,,1.6,,,0.18,,,,,
ZN Block11,,2100,2400,0.27,,,1.6,,,0.18,,,,,
ZN Block11,,2400,2700,0.26,,,1.6,,,0.18,,,,,
ZN Block11,,2700,3000,0.25,,,1.6,,,0.18,,,,,
ZN Block21,,0,200,0.33,,,1.2,,,0.18,,,,,
ZN Block21,,200,400,0.35,,,1.25,,,0.2,,,,,
ZN Block21,,400,600,0.37,,,1.3,,,0.21,,,,,
ZN Block21,,600,900,0.37,,,1.35,,,0.24,,,,,
ZN Block21,,900,1200,0.32,,,1.45,,,0.21,,,,,
ZN Block21,,1200,1500,0.3,,,1.5,,,0.18,,,,,
ZN Block21,,1500,1800,0.29,,,1.5,,,0.18,,,,,
ZN Block21,,1800,2100,0.28,,,1.6,,,0.18,,,,,
ZN Block21,,2100,2400,0.27,,,1.6,,,0.18,,,,,
ZN Block21,,2400,2700,0.26,,,1.6,,,0.18,,,,,
ZN Block21,,2700,3000,0.25,,,1.6,,,0.18,,,,,
ZN Block31,,0,200,0.33,,,1.2,,,0.18,,,,,
ZN Block31,,200,400,0.35,,,1.25,,,0.2,,,,,
ZN Block31,,400,600,0.37,,,1.3,,,0.21,,,,,
ZN Block31,,600,900,0.37,,,1.35,,,0.24,,,,,
ZN Block31,,900,1200,0.36,,,1.4,,,0.24,,,,,
ZN Block31,,1200,1500,0.32,,,1.45,,,0.22,,,,,
ZN Block31,,1500,1800,0.3,,,1.5,,,0.18,,,,,
ZN Block31,,1800,2100,0.28,,,1.6,,,0.18,,,,,
ZN Block31,,2100,2400,0.27,,,1.6,,,0.18,,,,,
ZN Block31,,2400,2700,0.26,,,1.6,,,0.18,,,,,
ZN Block31,,2700,3000,0.25,,,1.6,,,0.18,,,,,
ZN Block41,,0,200,0.33,,,1.2,,,0.18,,,,,
ZN Block41,,200,400,0.35,,,1.25,,,0.2,,,,,
ZN Block41,,400,600,0.37,,,1.3,,,0.21,,,,,
ZN Block41,,600,900,0.37,,,1.35,,,0.24,,,,,
ZN Block41,,900,1200,0.32,,,1.45,,,0.21,,,,,
ZN Block41,,1200,1500,0.3,,,1.5,,,0.18,,,,,
ZN Block41,,1500,1800,0.29,,,1.5,,,0.18,,,,,
ZN Block41,,1800,2100,0.28,,,1.6,,,0.18,,,,,
ZN Block41,,2100,2400,0.27,,,1.6,,,0.18,,,,,
ZN Block41,,2400,2700,0.26,,,1.6,,,0.18,,,,,
ZN Block41,,2700,3000,0.25,,,1.6,,,0.18,,,,,
